Time,x_end_to_end,y_end_to_end,z_end_to_end
622.0000,30.263512,-3.268373,-8.595963
623.0000,32.406799,-3.667632,-7.208982
624.0000,31.994867,-3.071206,-7.030565
625.0000,31.760421,-4.683128,-3.840365
626.0000,32.759229,-6.015882,-6.981879
627.0000,35.853209,-4.830125,-8.699253
628.0000,35.040287,-4.346636,-6.827557
629.0000,35.018167,-4.776191,-8.536756
630.0000,34.909178,-3.841379,-8.953183
631.0000,32.865734,-3.790409,-7.880835
632.0000,34.116258,-5.871200,-2.463782
633.0000,36.174080,-6.902765,-4.999434
634.0000,36.347840,-9.131221,-8.149322
635.0000,36.674653,-8.224734,-8.931901
636.0000,33.342956,-4.668953,-8.339409
637.0000,33.521287,-6.152570,-6.372563
638.0000,31.037833,-8.594380,-8.382158
639.0000,28.814884,-7.235793,-11.065046
640.0000,27.856278,-3.667567,-11.033234
641.0000,27.854501,-0.189129,-14.005201
642.0000,22.807935,-1.464332,-19.401033
643.0000,23.726383,-3.441598,-19.372678
644.0000,25.547241,-4.350345,-17.333397
645.0000,23.851631,-5.078387,-15.126076
646.0000,26.224227,-7.503014,-11.427605
647.0000,25.770366,-8.413880,-10.265376
